"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,0.00000721305098176084,0
10,-10,-4,0.0000356391822691007,0
10,-10,-3,0.000175782084870489,0
10,-10,-2,0.000860635377883041,0
10,-10,-1,0.00415760838708066,0
10,-10,0,0.0195012127735132,0
10,-10,1,0.083451772814019,0
10,-10,2,0.267072776155577,0
10,-10,3,0.490677652049892,0
10,-10,4,0.530650209616241,0
10,-10,5,0.521343344739991,0.221343220948114
10,-10,6,0.582148550297531,1.18120076236317
10,-10,7,0.559884075112294,3.16223914634821
10,-10,8,0.607884657340774,6.21907109183623
10,-10,9,0.603235884792101,10.4887581770195
10,-10,10,0.600964000703361,15.9189716046796
10,-10,11,0.581946246941386,22.41025247869
10,-10,12,0.595411164076574,29.8873004082735
10,-10,13,0.606659193412472,38.2656186460215
10,-10,14,0.566979103146559,47.424544244224
10,-10,15,0.573377886636815,57.2130426482385
10,-10,16,0.546519694553386,67.4519299642993
10,-10,17,0.531189716282591,77.9559534014617
10,-10,18,0.484108477393301,88.545375311297
10,-10,19,0.429057884764878,99.0486642520592
10,-10,20,0.395571715318701,109.308494504332
10,-10,21,0.408476411170274,119.174857917814
10,-10,22,0.307826820763241,128.492842711382
10,-10,23,0,137.115483292921
10,-10,24,0,144.909165082112
10,-10,25,0,151.757782993529
10,-10,26,0,153.52764737129
10,-10,27,0,150.151367081284
10,-10,28,0,146.567565332273
10,-10,29,0,139.638671955926
10,-10,30,0,131.023759616004
10,-9,-5,0.00000809796802946841,0
10,-9,-4,0.0000389767729244749,0
10,-9,-3,0.000189041010729743,0
10,-9,-2,0.000914594944265896,0
10,-9,-1,0.00437796925565513,0
10,-9,0,0.0203822381436096,0
10,-9,1,0.0866353202400666,0
10,-9,2,0.275616696205624,0
10,-9,3,0.503222711602402,0
10,-9,4,0.545636888720726,0
10,-9,5,0.539600521601052,0.228408521807225
10,-9,6,0.594632901973356,1.22427323257445
10,-9,7,0.591458924729387,3.25368648178185
