"","Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2","1990/1991",1991,120,120,100,61.612811804129,1294.99139358068,1396
"3","1991/1992",1992,120,120,100,71.4556823229155,1267.74291182606,1212
"4","1992/1993",1993,121,121,100,79.1200699821952,2135.53462765471,897
"5","1993/1994",1994,120,120,100,77.8632549364792,1940.7695149513,827
"6","1994/1995",1995,120,120,100,81.2281057367625,3693.1327636441,660
"7","1995/1996",1996,120,120,100,62.9777530202155,748.922008606954,1604
"8","1996/1997",1997,121,121,100,69.563269433155,2139.23512602743,1165
"9","1997/1998",1998,120,120,100,76.3587479843027,2668.72121390491,885
"10","1998/1999",1999,120,120,100,69.4907750978175,1262.72582962771,1232
"11","1999/2000",2000,120,120,100,78.2206979964146,1578.39728095918,776
"12","2000/2001",2001,121,121,100,83.2708075559958,2466.44015509065,660
"13","2001/2002",2002,120,120,100,74.5999466744602,2252.14477661438,1025
"14","2002/2003",2003,120,120,100,75.3465524796165,1856.39727563888,1062
"15","2003/2004",2004,120,120,100,77.0770597424989,2203.73474023107,829
"16","2004/2005",2005,121,121,100,68.2524697811414,1094.08467225754,1226
"17","2005/2006",2006,120,120,100,65.2753156194917,1137.98965572799,1291
"18","2006/2007",2007,120,120,100,84.9084106714886,3774.66164827126,421
"19","2007/2008",2008,120,120,100,78.7823916360571,1875.99852203322,949
"20","2008/2009",2009,121,121,100,69.36753121223,1195.06801616959,1364
"21","2009/2010",2010,120,120,100,66.4765761389431,2037.11503982474,1281
"22","2010/2011",2011,120,120,100,67.9397898024663,2267.08628285211,1183
"23","2011/2012",2012,120,120,100,76.6584882777888,1742.32351715979,799
"24","2012/2013",2013,121,121,100,71.8838353627129,1620.95084934705,1084
"25","2013/2014",2014,120,120,100,83.0404761094983,1968.46149392426,529
"26","2014/2015",2015,120,120,100,78.1257290422282,2077.97923625587,676
"27","2015/2016",2016,120,120,100,80.952405732553,5061.05105791939,400
"28","2016/2017",2017,121,121,100,74.0609017094894,1592.42652677349,1205
"29","2017/2018",2018,120,120,100,75.3060400110544,1583.50386198773,750
"30","2018/2019",2019,120,120,100,78.8481015785701,3027.97197599849,840
"31","2019/2020",2020,120,120,100,86.093877270625,3079.73140080203,552
"32","2020/2021",2021,121,62,51.2396694214876,40.7417102107293,2497.12188857514,250
