"location","Month","Tmax","Tmin","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
"MS",1,1.60878031145717,1.87488809788654,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",2,2.78820889877642,3.02032235817575,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",3,1.90930978865406,2.262029810901,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",4,2.10752691879866,2.26376295884316,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",5,1.8657914349277,1.58575773081201,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",6,1.55243325917686,1.19452447163515,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",7,2.23909721913237,1.89002925472747,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",8,2.45597753058954,1.68636785317019,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",9,3.21111935483871,2.49263481646274,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",10,2.70172102335929,2.48131735261402,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",11,3.14242869855395,2.98191824249166,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",12,2.33740166852058,2.84588642936596,"ssp126",2035,2065,2050,2005,"relative","ACCESS-CM2"
"MS",1,2.19482869855395,2.43296229143493,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",2,3.63581535038932,4.03978364849833,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",3,2.8007001112347,2.71436529477197,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",4,2.75863659621802,2.87112424916574,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",5,2.64902046718576,2.19260934371524,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",6,1.8774042269188,1.54155672969967,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",7,2.98429399332592,2.47643248053393,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",8,2.4129936596218,1.41366462736374,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",9,3.63473870967742,2.67744126807564,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",10,3.16655005561735,2.45458832035595,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
"MS",11,3.88541256952169,3.38875050055617,"ssp126",2070,2100,2085,2005,"relative","ACCESS-CM2"
