"","YEARMODA","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source"
"1",19900101,1990-01-01 12:00:00,"1990-01-01 12:00:00",1990,1,1,-9,2,-4.556,0,NA,NA
"2",19900102,1990-01-02 12:00:00,"1990-01-02 12:00:00",1990,1,2,-8.389,2,-4.056,0,NA,NA
"3",19900103,1990-01-03 12:00:00,"1990-01-03 12:00:00",1990,1,3,-4.389,-0.722,-1.444,0,NA,NA
"4",19900104,1990-01-04 12:00:00,"1990-01-04 12:00:00",1990,1,4,-7,0,-2.056,0,NA,NA
"5",19900105,1990-01-05 12:00:00,"1990-01-05 12:00:00",1990,1,5,-7.5,0,-2.611,0,NA,NA
"6",19900106,1990-01-06 12:00:00,"1990-01-06 12:00:00",1990,1,6,-3,4,-0.278,4.826,NA,NA
"7",19900107,1990-01-07 12:00:00,"1990-01-07 12:00:00",1990,1,7,-5,2.389,-1.167,0,NA,NA
"8",19900108,1990-01-08 12:00:00,"1990-01-08 12:00:00",1990,1,8,-5.222,1,-1.667,0,NA,NA
"9",19900109,1990-01-09 12:00:00,"1990-01-09 12:00:00",1990,1,9,-4,0.278,-0.889,0,NA,NA
"10",19900110,1990-01-10 12:00:00,"1990-01-10 12:00:00",1990,1,10,-2.389,-1,-1.778,0,NA,NA
"11",19900111,1990-01-11 12:00:00,"1990-01-11 12:00:00",1990,1,11,-5,-1.778,-2.778,0,NA,NA
"12",19900112,1990-01-12 12:00:00,"1990-01-12 12:00:00",1990,1,12,-7.222,0,-4.611,0,NA,NA
"13",19900113,1990-01-13 12:00:00,"1990-01-13 12:00:00",1990,1,13,-10,1.389,-4.778,0,NA,NA
"14",19900114,1990-01-14 12:00:00,"1990-01-14 12:00:00",1990,1,14,-9,2,-4.111,0,NA,NA
"15",19900115,1990-01-15 12:00:00,"1990-01-15 12:00:00",1990,1,15,-5.111,7,1.611,0,NA,NA
"16",19900116,1990-01-16 12:00:00,"1990-01-16 12:00:00",1990,1,16,3,8.222,6.222,2.032,NA,NA
"17",19900117,1990-01-17 12:00:00,"1990-01-17 12:00:00",1990,1,17,2,8,6.167,0,NA,NA
"18",19900118,1990-01-18 12:00:00,"1990-01-18 12:00:00",1990,1,18,-3,5,1.944,1.778,NA,NA
"19",19900119,1990-01-19 12:00:00,"1990-01-19 12:00:00",1990,1,19,-5,4.222,-0.556,0,NA,NA
"20",19900120,1990-01-20 12:00:00,"1990-01-20 12:00:00",1990,1,20,-1.222,6.222,3.833,0,NA,NA
"21",19900121,1990-01-21 12:00:00,"1990-01-21 12:00:00",1990,1,21,1.722,8.278,5.611,0,NA,NA
"22",19900122,1990-01-22 12:00:00,"1990-01-22 12:00:00",1990,1,22,-1,6.111,2.722,0,NA,NA
"23",19900123,1990-01-23 12:00:00,"1990-01-23 12:00:00",1990,1,23,-3,11,3.944,0,NA,NA
"24",19900124,1990-01-24 12:00:00,"1990-01-24 12:00:00",1990,1,24,3,10,6.722,0.762,NA,NA
"25",19900125,1990-01-25 12:00:00,"1990-01-25 12:00:00",1990,1,25,3,13.278,7.944,2.794,NA,NA
"26",19900126,1990-01-26 12:00:00,"1990-01-26 12:00:00",1990,1,26,1,8,5.389,6.35,NA,NA
"27",19900127,1990-01-27 12:00:00,"1990-01-27 12:00:00",1990,1,27,0,10,5.111,0,NA,NA
"28",19900128,1990-01-28 12:00:00,"1990-01-28 12:00:00",1990,1,28,0.222,10,4.889,0,NA,NA
"29",19900129,1990-01-29 12:00:00,"1990-01-29 12:00:00",1990,1,29,-1,8,2.833,0,NA,NA
"30",19900130,1990-01-30 12:00:00,"1990-01-30 12:00:00",1990,1,30,-2,9.278,3.778,0,NA,NA
"31",19900131,1990-01-31 12:00:00,"1990-01-31 12:00:00",1990,1,31,-0.111,12,4.944,0,NA,NA
"32",19900201,1990-02-01 12:00:00,"1990-02-01 12:00:00",1990,2,1,0.278,13,5.056,0,NA,NA
"33",19900202,1990-02-02 12:00:00,"1990-02-02 12:00:00",1990,2,2,-0.222,9.389,4,0,NA,NA
"34",19900203,1990-02-03 12:00:00,"1990-02-03 12:00:00",1990,2,3,-2.278,12.278,5.167,0,NA,NA
"35",19900204,1990-02-04 12:00:00,"1990-02-04 12:00:00",1990,2,4,-1,11.278,5.333,0,NA,NA
"36",19900205,1990-02-05 12:00:00,"1990-02-05 12:00:00",1990,2,5,-4,13,2.056,0,NA,NA
"37",19900206,1990-02-06 12:00:00,"1990-02-06 12:00:00",1990,2,6,-6,12,1.667,0,NA,NA
"38",19900207,1990-02-07 12:00:00,"1990-02-07 12:00:00",1990,2,7,-2,15,6.778,0,NA,NA
"39",19900208,1990-02-08 12:00:00,"1990-02-08 12:00:00",1990,2,8,4,15.389,10.889,0.508,NA,NA
"40",19900209,1990-02-09 12:00:00,"1990-02-09 12:00:00",1990,2,9,-2,7.889,3.667,0,NA,NA
"41",19900210,1990-02-10 12:00:00,"1990-02-10 12:00:00",1990,2,10,-5.5,8,1.833,3.048,NA,NA
"42",19900211,1990-02-11 12:00:00,"1990-02-11 12:00:00",1990,2,11,1.611,7,4.222,3.556,NA,NA
"43",19900212,1990-02-12 12:00:00,"1990-02-12 12:00:00",1990,2,12,0,5.111,2.833,1.016,NA,NA
"44",19900213,1990-02-13 12:00:00,"1990-02-13 12:00:00",1990,2,13,0,6,2.111,6.35,NA,NA
"45",19900214,1990-02-14 12:00:00,"1990-02-14 12:00:00",1990,2,14,0.611,10.222,5.056,2.286,NA,NA
"46",19900215,1990-02-15 12:00:00,"1990-02-15 12:00:00",1990,2,15,0.611,11,5.889,28.194,NA,NA
"47",19900216,1990-02-16 12:00:00,"1990-02-16 12:00:00",1990,2,16,-2,5,1.667,10.668,NA,NA
"48",19900217,1990-02-17 12:00:00,"1990-02-17 12:00:00",1990,2,17,-4,10.278,3.5,0,NA,NA
"49",19900218,1990-02-18 12:00:00,"1990-02-18 12:00:00",1990,2,18,3,15,8.389,0.254,NA,NA
"50",19900219,1990-02-19 12:00:00,"1990-02-19 12:00:00",1990,2,19,2,13.278,7.389,0,NA,NA
"51",19900220,1990-02-20 12:00:00,"1990-02-20 12:00:00",1990,2,20,1.5,18.389,8.722,0,NA,NA
"52",19900221,1990-02-21 12:00:00,"1990-02-21 12:00:00",1990,2,21,0.889,16.389,8.611,0,NA,NA
