"Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1990-01-01 12:00:00,1990,1,1,-1,1,0,0
1990-01-02 12:00:00,1990,1,2,0,2,1,0
1990-01-03 12:00:00,1990,1,3,-0.389,2,0.722,0
1990-01-04 12:00:00,1990,1,4,-1.111,2,-0.056,0
1990-01-05 12:00:00,1990,1,5,-1.111,3.111,1.556,0
1990-01-06 12:00:00,1990,1,6,0,2.389,1.333,0
1990-01-07 12:00:00,1990,1,7,-0.111,4.278,1.056,0
1990-01-08 12:00:00,1990,1,8,-0.111,7,3.278,0
1990-01-09 12:00:00,1990,1,9,3.778,8,5.333,0.508
1990-01-10 12:00:00,1990,1,10,3,6,4.556,1.016
1990-01-11 12:00:00,1990,1,11,3.278,7,5.167,0.254
1990-01-12 12:00:00,1990,1,12,-1,5.222,1.778,0
1990-01-13 12:00:00,1990,1,13,-1.278,4,1.389,0
1990-01-14 12:00:00,1990,1,14,-0.222,5,3.167,0
1990-01-15 12:00:00,1990,1,15,0.889,9,4.556,1.016
1990-01-16 12:00:00,1990,1,16,6.222,11,9.944,0
1990-01-17 12:00:00,1990,1,17,1,11,8.5,0
1990-01-18 12:00:00,1990,1,18,-1,7,2.722,0.254
1990-01-19 12:00:00,1990,1,19,2,7.111,4.611,0
1990-01-20 12:00:00,1990,1,20,4,8.5,6.056,2.286
1990-01-21 12:00:00,1990,1,21,4.722,12,9.278,2.286
1990-01-22 12:00:00,1990,1,22,4.889,8.389,6.611,0
1990-01-23 12:00:00,1990,1,23,4.778,11,8.167,1.524
1990-01-24 12:00:00,1990,1,24,2.389,8,5.556,19.05
1990-01-25 12:00:00,1990,1,25,2.389,14,8.556,0.762
1990-01-26 12:00:00,1990,1,26,3.778,8,5.444,3.048
1990-01-27 12:00:00,1990,1,27,3.778,9.389,6.444,0.254
1990-01-28 12:00:00,1990,1,28,5,11,8.556,0
1990-01-29 12:00:00,1990,1,29,3,9.5,6.056,0
1990-01-30 12:00:00,1990,1,30,3.389,11.111,7.167,0
1990-01-31 12:00:00,1990,1,31,8.111,11.389,10.278,0
1990-02-01 12:00:00,1990,2,1,6,11.611,9.056,0
1990-02-02 12:00:00,1990,2,2,6,11,8.278,0
1990-02-03 12:00:00,1990,2,3,5.722,13.389,8,0.762
1990-02-04 12:00:00,1990,2,4,2,11,6.444,0
1990-02-05 12:00:00,1990,2,5,2,14,7.333,0
1990-02-06 12:00:00,1990,2,6,5,16,9.389,0
1990-02-07 12:00:00,1990,2,7,7,14.5,11.222,0
1990-02-08 12:00:00,1990,2,8,5,16.222,11.389,0
1990-02-09 12:00:00,1990,2,9,1.889,9.611,5.556,3.556
1990-02-10 12:00:00,1990,2,10,1.611,8,4.667,0
1990-02-11 12:00:00,1990,2,11,4,9,6.333,8.128
1990-02-12 12:00:00,1990,2,12,0.889,6.778,4.222,0
1990-02-13 12:00:00,1990,2,13,0.5,10,3.333,4.318
1990-02-14 12:00:00,1990,2,14,2.889,10.111,6.611,15.494
1990-02-15 12:00:00,1990,2,15,0,5,2,9.906
1990-02-16 12:00:00,1990,2,16,-1,7.278,2.722,8.89
1990-02-17 12:00:00,1990,2,17,-2,8.389,3.778,0
1990-02-18 12:00:00,1990,2,18,6,13,9.889,0
1990-02-19 12:00:00,1990,2,19,6.389,15.222,11.278,0.254
1990-02-20 12:00:00,1990,2,20,9.222,20,13.444,0
1990-02-21 12:00:00,1990,2,21,5,18,11.278,0
1990-02-22 12:00:00,1990,2,22,-0.389,15.111,7.833,0
1990-02-23 12:00:00,1990,2,23,4,17.222,10.111,0
1990-02-24 12:00:00,1990,2,24,4.222,21,12.611,0
1990-02-25 12:00:00,1990,2,25,9,15,12.111,0
1990-02-26 12:00:00,1990,2,26,4,13,9.167,3.556
1990-02-27 12:00:00,1990,2,27,2,7.222,4.611,12.7
1990-02-28 12:00:00,1990,2,28,3.611,12,6.389,7.62
1990-03-01 12:00:00,1990,3,1,0,8.222,3.611,19.812
1990-03-02 12:00:00,1990,3,2,0,5,1.444,3.81
1990-03-03 12:00:00,1990,3,3,-0.389,7.389,4,3.048
1990-03-04 12:00:00,1990,3,4,2,8,5.167,0
1990-03-05 12:00:00,1990,3,5,5.778,8.222,6.722,0
1990-03-06 12:00:00,1990,3,6,6.5,11,8.278,0
