"","YEARMODA","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
"1",19730101,1973-01-01 12:00:00,1973-01-01 12:00:00,1973,1,1,-10,3,-5.222,0,NA,NA,FALSE,FALSE
"2",19730102,1973-01-02 12:00:00,1973-01-02 12:00:00,1973,1,2,-11,-2,-5.444,0,NA,NA,FALSE,FALSE
"3",19730103,1973-01-03 12:00:00,1973-01-03 12:00:00,1973,1,3,-2,2,-0.111,0,NA,NA,FALSE,FALSE
"4",19730104,1973-01-04 12:00:00,1973-01-04 12:00:00,1973,1,4,0,3,2.111,0,NA,NA,FALSE,FALSE
"5",19730105,1973-01-05 12:00:00,1973-01-05 12:00:00,1973,1,5,-2,3,-0.5,0,NA,NA,FALSE,FALSE
"6",19730106,1973-01-06 12:00:00,1973-01-06 12:00:00,1973,1,6,0,4,1.611,0,NA,NA,FALSE,FALSE
"7",19730107,1973-01-07 12:00:00,1973-01-07 12:00:00,1973,1,7,-1,1,-0.389,0,NA,NA,FALSE,FALSE
"8",19730108,1973-01-08 12:00:00,1973-01-08 12:00:00,1973,1,8,0,3,1.278,0,NA,NA,FALSE,FALSE
"9",19730109,1973-01-09 12:00:00,1973-01-09 12:00:00,1973,1,9,1,4,2.444,0.508,NA,NA,FALSE,FALSE
"10",19730110,1973-01-10 12:00:00,1973-01-10 12:00:00,1973,1,10,0,11,1.722,0,NA,NA,FALSE,FALSE
"11",19730111,1973-01-11 12:00:00,1973-01-11 12:00:00,1973,1,11,1,4,2,0,NA,NA,FALSE,FALSE
"12",19730112,1973-01-12 12:00:00,1973-01-12 12:00:00,1973,1,12,-3,3,0.889,0,NA,NA,FALSE,FALSE
"13",19730113,1973-01-13 12:00:00,1973-01-13 12:00:00,1973,1,13,0,5,1.389,0,NA,NA,FALSE,FALSE
"14",19730114,1973-01-14 12:00:00,1973-01-14 12:00:00,1973,1,14,1,5,2.833,4.064,NA,NA,FALSE,FALSE
"15",19730115,1973-01-15 12:00:00,1973-01-15 12:00:00,1973,1,15,3,8,5.722,0.508,NA,NA,FALSE,FALSE
"16",19730116,1973-01-16 12:00:00,1973-01-16 12:00:00,1973,1,16,2,6,3.889,0,NA,NA,FALSE,FALSE
"17",19730117,1973-01-17 12:00:00,1973-01-17 12:00:00,1973,1,17,-2,4,1.778,0,NA,NA,FALSE,FALSE
"18",19730118,1973-01-18 12:00:00,1973-01-18 12:00:00,1973,1,18,0,3,1.389,0,NA,NA,FALSE,FALSE
"19",19730119,1973-01-19 12:00:00,1973-01-19 12:00:00,1973,1,19,0,1,0.5,0,NA,NA,FALSE,FALSE
"20",19730120,1973-01-20 12:00:00,1973-01-20 12:00:00,1973,1,20,0,4,1.556,1.016,NA,NA,FALSE,FALSE
"21",19730121,1973-01-21 12:00:00,1973-01-21 12:00:00,1973,1,21,0,5,2.722,0,NA,NA,FALSE,FALSE
"22",19730122,1973-01-22 12:00:00,1973-01-22 12:00:00,1973,1,22,0,7,3.278,0.508,NA,NA,FALSE,FALSE
"23",19730123,1973-01-23 12:00:00,1973-01-23 12:00:00,1973,1,23,-3,4,0.944,3.048,NA,NA,FALSE,FALSE
"24",19730124,1973-01-24 12:00:00,1973-01-24 12:00:00,1973,1,24,-1,4,1.111,0,NA,NA,FALSE,FALSE
"25",19730125,1973-01-25 12:00:00,1973-01-25 12:00:00,1973,1,25,-3,4,-0.389,0,NA,NA,FALSE,FALSE
"26",19730126,1973-01-26 12:00:00,1973-01-26 12:00:00,1973,1,26,-5,4,0.5,0.254,NA,NA,FALSE,FALSE
"27",19730127,1973-01-27 12:00:00,1973-01-27 12:00:00,1973,1,27,3,7,5.111,2.032,NA,NA,FALSE,FALSE
"28",19730128,1973-01-28 12:00:00,1973-01-28 12:00:00,1973,1,28,3,6,4.611,4.318,NA,NA,FALSE,FALSE
