"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,919.910657225955,147
"2001/2002",2002,46,46,100,137.700539310408,337
"2002/2003",2003,46,46,100,257.331774400702,204
"2003/2004",2004,46,46,100,146.319620420523,202
"2004/2005",2005,46,46,100,102.947181121723,236
"2005/2006",2006,46,46,100,280.719852868318,283
"2006/2007",2007,46,46,100,558.107632205516,407
"2007/2008",2008,46,46,100,886.027982144486,260
"2008/2009",2009,46,46,100,573.173810309563,326
"2009/2010",2010,46,46,100,349.440118240971,84
"2010/2011",2011,46,46,100,762.775457625154,88
"2011/2012",2012,46,46,100,80.51651292108,592
"2012/2013",2013,46,46,100,1356.62969319645,167
"2013/2014",2014,46,46,100,149.419365648922,368
"2014/2015",2015,46,46,100,75.7752009584947,432
"2015/2016",2016,46,46,100,144.298988874572,286
"2016/2017",2017,46,46,100,426.054162112967,113
"2017/2018",2018,46,46,100,113.436157412711,206
"2018/2019",2019,46,46,100,877.074654972232,315
"2019/2020",2020,46,46,100,834.002590229888,69
"2020/2021",2021,46,46,100,1347.04492952421,361
"2021/2022",2022,46,46,100,795.147927855898,48
"2022/2023",2023,46,46,100,224.556905050311,232
"2023/2024",2024,46,46,100,483.634023712395,386
"2024/2025",2025,46,46,100,179.993271172541,178
"2025/2026",2026,46,46,100,751.536746422571,233
"2026/2027",2027,46,46,100,557.524053716217,135
"2027/2028",2028,46,46,100,1032.36295277451,116
"2028/2029",2029,46,46,100,174.784896765224,180
"2029/2030",2030,46,46,100,518.4038967878,134
"2030/2031",2031,46,46,100,1203.99858380476,10
"2031/2032",2032,46,46,100,911.37130447368,1
"2032/2033",2033,46,46,100,397.416592346781,117
"2033/2034",2034,46,46,100,289.988636275608,180
"2034/2035",2035,46,46,100,119.334968036157,385
"2035/2036",2036,46,46,100,670.466915674333,88
"2036/2037",2037,46,46,100,296.580884863142,79
"2037/2038",2038,46,46,100,764.596452758793,322
"2038/2039",2039,46,46,100,448.80986222488,143
"2039/2040",2040,46,46,100,2258.22929913254,0
"2040/2041",2041,46,46,100,531.405354846793,376
"2041/2042",2042,46,46,100,453.067707642302,297
"2042/2043",2043,46,46,100,206.81963745266,218
"2043/2044",2044,46,46,100,1339.12241375641,91
"2044/2045",2045,46,46,100,360.499831925874,192
"2045/2046",2046,46,46,100,950.020364425785,55
"2046/2047",2047,46,46,100,447.033410274453,98
"2047/2048",2048,46,46,100,166.862936724792,319
"2048/2049",2049,46,46,100,157.424561469699,206
"2049/2050",2050,46,46,100,224.712393859227,330
"2050/2051",2051,46,46,100,1922.85526436428,0
"2051/2052",2052,46,46,100,554.056529234163,75
"2052/2053",2053,46,46,100,1384.39501337172,20
"2053/2054",2054,46,46,100,1046.53483600685,0
"2054/2055",2055,46,46,100,1707.96678595219,16
"2055/2056",2056,46,46,100,662.945935350959,272
"2056/2057",2057,46,46,100,300.928223156923,277
"2057/2058",2058,46,46,100,154.957026683987,451
"2058/2059",2059,46,46,100,229.19535322921,235
"2059/2060",2060,46,46,100,390.10741382296,21
"2060/2061",2061,46,46,100,878.362645099929,160
"2061/2062",2062,46,46,100,783.615604125371,45
"2062/2063",2063,46,46,100,157.274593890732,398
"2063/2064",2064,46,46,100,551.739864070405,335
"2064/2065",2065,46,46,100,140.001773445023,248
"2065/2066",2066,46,46,100,1003.44550939524,286
"2066/2067",2067,46,46,100,530.490506886301,113
"2067/2068",2068,46,46,100,722.295804828871,229
"2068/2069",2069,46,46,100,475.555171098851,277
"2069/2070",2070,46,46,100,231.091969070781,263
"2070/2071",2071,46,46,100,823.172167682205,215
"2071/2072",2072,46,46,100,449.348216499493,252
"2072/2073",2073,46,46,100,130.223606915039,386
"2073/2074",2074,46,46,100,1173.35295456497,223
"2074/2075",2075,46,46,100,546.435102088377,160
"2075/2076",2076,46,46,100,325.033035465924,354
"2076/2077",2077,46,46,100,103.797083252866,172
"2077/2078",2078,46,46,100,139.065054224513,140
"2078/2079",2079,46,46,100,236.298877495341,271
"2079/2080",2080,46,46,100,683.539205814945,366
"2080/2081",2081,46,46,100,443.261171899154,335
"2081/2082",2082,46,46,100,270.693408279796,598
"2082/2083",2083,46,46,100,749.181868788204,224
"2083/2084",2084,46,46,100,855.843027019233,70
"2084/2085",2085,46,46,100,609.797220588138,152
"2085/2086",2086,46,46,100,713.576150908484,285
"2086/2087",2087,46,46,100,959.178581538028,482
"2087/2088",2088,46,46,100,1373.80763872439,3
"2088/2089",2089,46,46,100,129.442906990647,233
"2089/2090",2090,46,46,100,369.101360556204,22
"2090/2091",2091,46,46,100,610.633516139176,90
"2091/2092",2092,46,46,100,687.770131562371,130
"2092/2093",2093,46,46,100,183.594537895988,166
"2093/2094",2094,46,46,100,237.78768576216,177
"2094/2095",2095,46,46,100,212.473516951955,459
"2095/2096",2096,46,46,100,1220.41115039331,214
"2096/2097",2097,46,46,100,392.021674098389,120
"2097/2098",2098,46,46,100,512.525283247931,21
"2098/2099",2099,46,46,100,112.883177989919,136
"2099/2100",2100,46,46,100,158.65847694315,530
