"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,0.00000738633884248126,0
10,-10,-4,0.0000364909920272298,0
10,-10,-3,0.00017992253909852,0
10,-10,-2,0.000880473958813526,0
10,-10,-1,0.0042506796479133,0
10,-10,0,0.0199158938152181,0
10,-10,1,0.08502119151353,0
10,-10,2,0.270636863238561,0
10,-10,3,0.493605074485581,0
10,-10,4,0.536212626586822,0
10,-10,5,0.524996993918227,0.225756292963549
10,-10,6,0.592422642199499,1.2087967336265
10,-10,7,0.553940435595449,3.22522309471358
10,-10,8,0.616971600447736,6.35159459866809
10,-10,9,0.621432252990015,10.719709205823
10,-10,10,0.589709506758906,16.2537073292342
10,-10,11,0.578796566447969,22.8601544910244
10,-10,12,0.615378691299155,30.4881689666593
10,-10,13,0.596879387326867,39.0536155826584
10,-10,14,0.601898693330411,48.4233708747951
10,-10,15,0.545400155693196,58.4269119118348
10,-10,16,0.52173790019832,68.8768603378458
10,-10,17,0.49925350230593,79.5885832789114
10,-10,18,0.428058208527753,90.3841145143746
10,-10,19,0.451071001685144,101.097655644322
10,-10,20,0.43888450712349,111.578205646059
10,-10,21,0.455067229240344,121.665202197099
10,-10,22,0.315711580413327,131.189752711632
10,-10,23,0,139.99644347914
10,-10,24,0,147.947119249935
10,-10,25,0,154.923273066534
10,-10,26,0,156.590603282549
10,-10,27,0,153.300196000134
10,-10,28,0,149.760863552919
10,-10,29,0,142.050290646273
10,-10,30,0,133.497000450574
10,-9,-5,0.00000828675921228359,0
10,-9,-4,0.0000398947301893682,0
10,-9,-3,0.000193456280449746,0
10,-9,-2,0.000935564881661684,0
10,-9,-1,0.00447551393163083,0
10,-9,0,0.0208142329952873,0
10,-9,1,0.0882567067120417,0
10,-9,2,0.279251238862453,0
10,-9,3,0.505986638726671,0
10,-9,4,0.549034920228946,0
10,-9,5,0.550362923481463,0.232666616167981
10,-9,6,0.601195358373775,1.25259817272575
10,-9,7,0.5745325458315,3.31676159643471
10,-9,8,0.629505909695273,6.54723333449198
10,-9,9,0.623287247433993,11.0264331691118
10,-9,10,0.569273708086196,16.6677835306298
10,-9,11,0.629568805085297,23.406908063265
10,-9,12,0.625473942140412,31.1990403098236
10,-9,13,0.619194221653299,39.9391116853821
10,-9,14,0.589667714018948,49.4771000899595
10,-9,15,0.555042514770883,59.6334275232855
10,-9,16,0.516560749091042,70.2256131378469
10,-9,17,0.470779454180083,81.077128120619
10,-9,18,0.486272942149364,92.020916436929
10,-9,19,0.463424959035123,102.90205025736
10,-9,20,0.48086476849113,113.548658209921
10,-9,21,0.480231693400264,123.778965774313
10,-9,22,0.357160379583215,133.422388288018
10,-9,23,0,142.323171538172
10,-9,24,0,150.344201013618
10,-9,25,0,157.382467665502
10,-9,26,0,158.990199536296
10,-9,27,0,155.763693139263
10,-9,28,0,152.185665352304
10,-9,29,0,144.11950582022
10,-9,30,0,135.633003584036
10,-8,-5,0.00000969252977804236,0
10,-8,-4,0.0000445625372003575,0
10,-8,-3,0.00021059143005052,0
10,-8,-2,0.00100190696156264,0
