"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","ACCESS-CM2",2001,NA
"SSP1 2050","ACCESS-CM2",2002,99
"SSP1 2050","ACCESS-CM2",2003,103.958333333333
"SSP1 2050","ACCESS-CM2",2004,108.125
"SSP1 2050","ACCESS-CM2",2005,112.791666666667
"SSP1 2050","ACCESS-CM2",2006,102.666666666667
"SSP1 2050","ACCESS-CM2",2007,98.2916666666667
"SSP1 2050","ACCESS-CM2",2008,107
"SSP1 2050","ACCESS-CM2",2009,92.9166666666667
"SSP1 2050","ACCESS-CM2",2010,98.0833333333333
"SSP1 2050","ACCESS-CM2",2011,113.291666666667
"SSP1 2050","ACCESS-CM2",2012,91.875
"SSP1 2050","ACCESS-CM2",2013,114.083333333333
"SSP1 2050","ACCESS-CM2",2014,89.25
"SSP1 2050","ACCESS-CM2",2015,99.875
"SSP1 2050","ACCESS-CM2",2016,101.291666666667
"SSP1 2050","ACCESS-CM2",2017,98.4583333333333
"SSP1 2050","ACCESS-CM2",2018,107.541666666667
"SSP1 2050","ACCESS-CM2",2019,93.7916666666667
"SSP1 2050","ACCESS-CM2",2020,117.458333333333
"SSP1 2050","ACCESS-CM2",2021,100.25
"SSP1 2050","ACCESS-CM2",2022,104.041666666667
"SSP1 2050","ACCESS-CM2",2023,112.375
"SSP1 2050","ACCESS-CM2",2024,108.958333333333
"SSP1 2050","ACCESS-CM2",2025,105.208333333333
"SSP1 2050","ACCESS-CM2",2026,113.625
"SSP1 2050","ACCESS-CM2",2027,103.5
"SSP1 2050","ACCESS-CM2",2028,108.375
"SSP1 2050","ACCESS-CM2",2029,118.041666666667
"SSP1 2050","ACCESS-CM2",2030,101.125
"SSP1 2050","ACCESS-CM2",2031,104.25
"SSP1 2050","ACCESS-CM2",2032,107.583333333333
"SSP1 2050","ACCESS-CM2",2033,96.2083333333333
"SSP1 2050","ACCESS-CM2",2034,99.1666666666667
"SSP1 2050","ACCESS-CM2",2035,103.75
"SSP1 2050","ACCESS-CM2",2036,111.375
"SSP1 2050","ACCESS-CM2",2037,84.9166666666667
"SSP1 2050","ACCESS-CM2",2038,94.2083333333333
"SSP1 2050","ACCESS-CM2",2039,90.0416666666667
"SSP1 2050","ACCESS-CM2",2040,105.166666666667
"SSP1 2050","ACCESS-CM2",2041,102.791666666667
"SSP1 2050","ACCESS-CM2",2042,86.2916666666667
"SSP1 2050","ACCESS-CM2",2043,98.2916666666667
"SSP1 2050","ACCESS-CM2",2044,111.125
"SSP1 2050","ACCESS-CM2",2045,93.375
"SSP1 2050","ACCESS-CM2",2046,83.125
"SSP1 2050","ACCESS-CM2",2047,109.416666666667
"SSP1 2050","ACCESS-CM2",2048,90.0833333333333
"SSP1 2050","ACCESS-CM2",2049,96.0416666666667
"SSP1 2050","ACCESS-CM2",2050,104.916666666667
"SSP1 2050","ACCESS-CM2",2051,93.3333333333333
"SSP1 2050","ACCESS-CM2",2052,100.291666666667
"SSP1 2050","ACCESS-CM2",2053,97.3333333333333
"SSP1 2050","ACCESS-CM2",2054,101.125
"SSP1 2050","ACCESS-CM2",2055,108.958333333333
"SSP1 2050","ACCESS-CM2",2056,112.166666666667
"SSP1 2050","ACCESS-CM2",2057,96.0833333333333
"SSP1 2050","ACCESS-CM2",2058,94.25
"SSP1 2050","ACCESS-CM2",2059,101.5
"SSP1 2050","ACCESS-CM2",2060,105
"SSP1 2050","ACCESS-CM2",2061,95.3333333333333
"SSP1 2050","ACCESS-CM2",2062,94.2083333333333
"SSP1 2050","ACCESS-CM2",2063,98.125
"SSP1 2050","ACCESS-CM2",2064,95.2916666666667
"SSP1 2050","ACCESS-CM2",2065,117.583333333333
"SSP1 2050","ACCESS-CM2",2066,114.958333333333
"SSP1 2050","ACCESS-CM2",2067,109.416666666667
"SSP1 2050","ACCESS-CM2",2068,101.041666666667
"SSP1 2050","ACCESS-CM2",2069,113.958333333333
"SSP1 2050","ACCESS-CM2",2070,98
"SSP1 2050","ACCESS-CM2",2071,89.3333333333333
"SSP1 2050","ACCESS-CM2",2072,97.7083333333333
"SSP1 2050","ACCESS-CM2",2073,108.208333333333
"SSP1 2050","ACCESS-CM2",2074,91
"SSP1 2050","ACCESS-CM2",2075,75.125
"SSP1 2050","ACCESS-CM2",2076,98.0416666666667
"SSP1 2050","ACCESS-CM2",2077,107.375
"SSP1 2050","ACCESS-CM2",2078,93.2083333333333
"SSP1 2050","ACCESS-CM2",2079,102.375
"SSP1 2050","ACCESS-CM2",2080,110.333333333333
"SSP1 2050","ACCESS-CM2",2081,114.916666666667
"SSP1 2050","ACCESS-CM2",2082,82.125
"SSP1 2050","ACCESS-CM2",2083,91.2083333333333
"SSP1 2050","ACCESS-CM2",2084,109.25
"SSP1 2050","ACCESS-CM2",2085,93.5
"SSP1 2050","ACCESS-CM2",2086,83.2083333333333
"SSP1 2050","ACCESS-CM2",2087,80.2083333333333
"SSP1 2050","ACCESS-CM2",2088,110.25
"SSP1 2050","ACCESS-CM2",2089,106.958333333333
"SSP1 2050","ACCESS-CM2",2090,98.1666666666667
"SSP1 2050","ACCESS-CM2",2091,78.2083333333333
"SSP1 2050","ACCESS-CM2",2092,92.0416666666667
"SSP1 2050","ACCESS-CM2",2093,99.0833333333333
"SSP1 2050","ACCESS-CM2",2094,99.2083333333333
"SSP1 2050","ACCESS-CM2",2095,89.25
"SSP1 2050","ACCESS-CM2",2096,104.958333333333
"SSP1 2050","ACCESS-CM2",2097,89.2916666666667
"SSP1 2050","ACCESS-CM2",2098,102.25
"SSP1 2050","ACCESS-CM2",2099,104.041666666667
"SSP1 2050","ACCESS-CM2",2100,101.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2001,NA
"SSP1 2050","AWI-CM-1-1-MR",2002,98.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2003,103.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2004,108.583333333333
"SSP1 2050","AWI-CM-1-1-MR",2005,113.791666666667
"SSP1 2050","AWI-CM-1-1-MR",2006,103.25
"SSP1 2050","AWI-CM-1-1-MR",2007,107.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2008,108.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2009,98.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2010,105.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2011,116.5
"SSP1 2050","AWI-CM-1-1-MR",2012,93
"SSP1 2050","AWI-CM-1-1-MR",2013,116.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2014,94.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2015,102.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2016,101.916666666667
"SSP1 2050","AWI-CM-1-1-MR",2017,106.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2018,107.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2019,95.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2020,119.583333333333
"SSP1 2050","AWI-CM-1-1-MR",2021,100.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2022,112.25
"SSP1 2050","AWI-CM-1-1-MR",2023,118
"SSP1 2050","AWI-CM-1-1-MR",2024,110.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2025,109.25
"SSP1 2050","AWI-CM-1-1-MR",2026,114.125
"SSP1 2050","AWI-CM-1-1-MR",2027,105.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2028,111.833333333333
"SSP1 2050","AWI-CM-1-1-MR",2029,119.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2030,103.125
"SSP1 2050","AWI-CM-1-1-MR",2031,103.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2032,108.375
"SSP1 2050","AWI-CM-1-1-MR",2033,104
"SSP1 2050","AWI-CM-1-1-MR",2034,103.125
"SSP1 2050","AWI-CM-1-1-MR",2035,106.375
"SSP1 2050","AWI-CM-1-1-MR",2036,112.125
"SSP1 2050","AWI-CM-1-1-MR",2037,86.125
"SSP1 2050","AWI-CM-1-1-MR",2038,104.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2039,95.0416666666667
"SSP1 2050","AWI-CM-1-1-MR",2040,106.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2041,103.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2042,87.25
"SSP1 2050","AWI-CM-1-1-MR",2043,100.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2044,115.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2045,99.9166666666667
"SSP1 2050","AWI-CM-1-1-MR",2046,94.375
"SSP1 2050","AWI-CM-1-1-MR",2047,112.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2048,92.25
"SSP1 2050","AWI-CM-1-1-MR",2049,95.4583333333333
"SSP1 2050","AWI-CM-1-1-MR",2050,109.916666666667
"SSP1 2050","AWI-CM-1-1-MR",2051,98.125
"SSP1 2050","AWI-CM-1-1-MR",2052,103
"SSP1 2050","AWI-CM-1-1-MR",2053,98.0416666666667
"SSP1 2050","AWI-CM-1-1-MR",2054,100.25
