"SSP_Time","GCM","Year","Frost"
"SSP1 2050","ACCESS-CM2",2002,0
"SSP1 2050","ACCESS-CM2",2003,0
"SSP1 2050","ACCESS-CM2",2004,2
"SSP1 2050","ACCESS-CM2",2005,0
"SSP1 2050","ACCESS-CM2",2006,18
"SSP1 2050","ACCESS-CM2",2007,10
"SSP1 2050","ACCESS-CM2",2008,20
"SSP1 2050","ACCESS-CM2",2009,1
"SSP1 2050","ACCESS-CM2",2010,18
"SSP1 2050","ACCESS-CM2",2011,7
"SSP1 2050","ACCESS-CM2",2012,0
"SSP1 2050","ACCESS-CM2",2013,0
"SSP1 2050","ACCESS-CM2",2014,0
"SSP1 2050","ACCESS-CM2",2015,0
"SSP1 2050","ACCESS-CM2",2016,3
"SSP1 2050","ACCESS-CM2",2017,13
"SSP1 2050","ACCESS-CM2",2018,0
"SSP1 2050","ACCESS-CM2",2019,7
"SSP1 2050","ACCESS-CM2",2020,0
"SSP1 2050","ACCESS-CM2",2021,22
"SSP1 2050","ACCESS-CM2",2022,21
"SSP1 2050","ACCESS-CM2",2023,0
"SSP1 2050","ACCESS-CM2",2024,7
"SSP1 2050","ACCESS-CM2",2025,1
"SSP1 2050","ACCESS-CM2",2026,0
"SSP1 2050","ACCESS-CM2",2027,0
"SSP1 2050","ACCESS-CM2",2028,0
"SSP1 2050","ACCESS-CM2",2029,7
"SSP1 2050","ACCESS-CM2",2030,6
"SSP1 2050","ACCESS-CM2",2031,28
"SSP1 2050","ACCESS-CM2",2032,0
"SSP1 2050","ACCESS-CM2",2033,8
"SSP1 2050","ACCESS-CM2",2034,5
"SSP1 2050","ACCESS-CM2",2035,0
"SSP1 2050","ACCESS-CM2",2036,6
"SSP1 2050","ACCESS-CM2",2037,0
"SSP1 2050","ACCESS-CM2",2038,0
"SSP1 2050","ACCESS-CM2",2039,2
"SSP1 2050","ACCESS-CM2",2040,5
"SSP1 2050","ACCESS-CM2",2041,0
"SSP1 2050","ACCESS-CM2",2042,0
"SSP1 2050","ACCESS-CM2",2043,2
"SSP1 2050","ACCESS-CM2",2044,6
"SSP1 2050","ACCESS-CM2",2045,11
"SSP1 2050","ACCESS-CM2",2046,1
"SSP1 2050","ACCESS-CM2",2047,0
"SSP1 2050","ACCESS-CM2",2048,8
"SSP1 2050","ACCESS-CM2",2049,0
"SSP1 2050","ACCESS-CM2",2050,0
"SSP1 2050","ACCESS-CM2",2051,14
"SSP1 2050","ACCESS-CM2",2052,0
"SSP1 2050","ACCESS-CM2",2053,4
"SSP1 2050","ACCESS-CM2",2054,4
"SSP1 2050","ACCESS-CM2",2055,0
"SSP1 2050","ACCESS-CM2",2056,0
"SSP1 2050","ACCESS-CM2",2057,10
"SSP1 2050","ACCESS-CM2",2058,8
"SSP1 2050","ACCESS-CM2",2059,7
"SSP1 2050","ACCESS-CM2",2060,6
"SSP1 2050","ACCESS-CM2",2061,0
"SSP1 2050","ACCESS-CM2",2062,0
"SSP1 2050","ACCESS-CM2",2063,11
"SSP1 2050","ACCESS-CM2",2064,0
"SSP1 2050","ACCESS-CM2",2065,0
"SSP1 2050","ACCESS-CM2",2066,14
"SSP1 2050","ACCESS-CM2",2067,0
"SSP1 2050","ACCESS-CM2",2068,24
"SSP1 2050","ACCESS-CM2",2069,0
"SSP1 2050","ACCESS-CM2",2070,0
"SSP1 2050","ACCESS-CM2",2071,26
"SSP1 2050","ACCESS-CM2",2072,0
"SSP1 2050","ACCESS-CM2",2073,0
"SSP1 2050","ACCESS-CM2",2074,16
"SSP1 2050","ACCESS-CM2",2075,2
"SSP1 2050","ACCESS-CM2",2076,0
"SSP1 2050","ACCESS-CM2",2077,3
"SSP1 2050","ACCESS-CM2",2078,0
"SSP1 2050","ACCESS-CM2",2079,0
"SSP1 2050","ACCESS-CM2",2080,0
"SSP1 2050","ACCESS-CM2",2081,0
"SSP1 2050","ACCESS-CM2",2082,4
"SSP1 2050","ACCESS-CM2",2083,0
"SSP1 2050","ACCESS-CM2",2084,7
"SSP1 2050","ACCESS-CM2",2085,3
"SSP1 2050","ACCESS-CM2",2086,7
"SSP1 2050","ACCESS-CM2",2087,4
"SSP1 2050","ACCESS-CM2",2088,0
"SSP1 2050","ACCESS-CM2",2089,0
"SSP1 2050","ACCESS-CM2",2090,11
"SSP1 2050","ACCESS-CM2",2091,0
"SSP1 2050","ACCESS-CM2",2092,0
"SSP1 2050","ACCESS-CM2",2093,0
"SSP1 2050","ACCESS-CM2",2094,11
"SSP1 2050","ACCESS-CM2",2095,0
"SSP1 2050","ACCESS-CM2",2096,0
"SSP1 2050","ACCESS-CM2",2097,11
"SSP1 2050","ACCESS-CM2",2098,1
"SSP1 2050","ACCESS-CM2",2099,3
"SSP1 2050","ACCESS-CM2",2100,0
"SSP1 2050","AWI-CM-1-1-MR",2002,0
"SSP1 2050","AWI-CM-1-1-MR",2003,0
"SSP1 2050","AWI-CM-1-1-MR",2004,2
"SSP1 2050","AWI-CM-1-1-MR",2005,0
"SSP1 2050","AWI-CM-1-1-MR",2006,7
"SSP1 2050","AWI-CM-1-1-MR",2007,10
"SSP1 2050","AWI-CM-1-1-MR",2008,12
"SSP1 2050","AWI-CM-1-1-MR",2009,0
"SSP1 2050","AWI-CM-1-1-MR",2010,15
"SSP1 2050","AWI-CM-1-1-MR",2011,4
"SSP1 2050","AWI-CM-1-1-MR",2012,5
"SSP1 2050","AWI-CM-1-1-MR",2013,0
"SSP1 2050","AWI-CM-1-1-MR",2014,0
"SSP1 2050","AWI-CM-1-1-MR",2015,0
"SSP1 2050","AWI-CM-1-1-MR",2016,2
"SSP1 2050","AWI-CM-1-1-MR",2017,16
"SSP1 2050","AWI-CM-1-1-MR",2018,0
"SSP1 2050","AWI-CM-1-1-MR",2019,0
"SSP1 2050","AWI-CM-1-1-MR",2020,0
"SSP1 2050","AWI-CM-1-1-MR",2021,20
"SSP1 2050","AWI-CM-1-1-MR",2022,7
"SSP1 2050","AWI-CM-1-1-MR",2023,0
"SSP1 2050","AWI-CM-1-1-MR",2024,0
"SSP1 2050","AWI-CM-1-1-MR",2025,1
"SSP1 2050","AWI-CM-1-1-MR",2026,0
"SSP1 2050","AWI-CM-1-1-MR",2027,0
"SSP1 2050","AWI-CM-1-1-MR",2028,0
"SSP1 2050","AWI-CM-1-1-MR",2029,0
"SSP1 2050","AWI-CM-1-1-MR",2030,6
"SSP1 2050","AWI-CM-1-1-MR",2031,25
"SSP1 2050","AWI-CM-1-1-MR",2032,0
"SSP1 2050","AWI-CM-1-1-MR",2033,10
"SSP1 2050","AWI-CM-1-1-MR",2034,4
"SSP1 2050","AWI-CM-1-1-MR",2035,0
"SSP1 2050","AWI-CM-1-1-MR",2036,5
"SSP1 2050","AWI-CM-1-1-MR",2037,0
"SSP1 2050","AWI-CM-1-1-MR",2038,0
"SSP1 2050","AWI-CM-1-1-MR",2039,0
"SSP1 2050","AWI-CM-1-1-MR",2040,5
"SSP1 2050","AWI-CM-1-1-MR",2041,0
