"Year","Month","Day","Tmax","Tmin","Data_source","Date"
1998,1,1,8.2,5.1,"observed",2000-01-01
1998,1,2,9.1,5,"observed",2000-01-02
1998,1,3,10.4,3.3,"observed",2000-01-03
1998,1,4,8.4,4.5,"observed",2000-01-04
1998,1,5,7.7,4.5,"observed",2000-01-05
1998,1,6,8.1,4.4,"observed",2000-01-06
1998,1,7,12,6.9,"observed",2000-01-07
1998,1,8,11.2,8.6,"observed",2000-01-08
1998,1,9,13.9,8.5,"observed",2000-01-09
1998,1,10,14.5,3.6,"observed",2000-01-10
1998,1,11,11.2,2.9,"observed",2000-01-11
1998,1,12,10.3,3.1,"observed",2000-01-12
1998,1,13,11.3,4.1,"observed",2000-01-13
1998,1,14,10.3,5.1,"observed",2000-01-14
1998,1,15,7.5,4.1,"observed",2000-01-15
1998,1,16,9.3,5.3,"observed",2000-01-16
1998,1,17,7.1,3,"observed",2000-01-17
1998,1,18,7,2.2,"observed",2000-01-18
1998,1,19,6.4,1.4,"observed",2000-01-19
1998,1,20,3.9,0.7,"observed",2000-01-20
1998,1,21,1.6,-1.1,"observed",2000-01-21
1998,1,22,2.4,-1.3,"observed",2000-01-22
1998,1,23,2.1,-0.8,"observed",2000-01-23
1998,1,24,1.5,-0.5,"observed",2000-01-24
1998,1,25,0.6,-4.8,"observed",2000-01-25
1998,1,26,0.8,-7.8,"observed",2000-01-26
1998,1,27,1.2,-8.7,"observed",2000-01-27
1998,1,28,1.3,-8.9,"observed",2000-01-28
1998,1,29,1.6,-1,"observed",2000-01-29
1998,1,30,4,-1.3,"observed",2000-01-30
1998,1,31,2.7,-5.5,"observed",2000-01-31
1998,2,1,-3.1,-9.1,"observed",2000-02-01
1998,2,2,1.5,-11.3,"observed",2000-02-02
1998,2,3,3.7,-3.6,"observed",2000-02-03
1998,2,4,5,-7,"observed",2000-02-04
1998,2,5,7.1,-4.7,"observed",2000-02-05
1998,2,6,7.6,-1,"observed",2000-02-06
1998,2,7,4.3,-2.4,"observed",2000-02-07
1998,2,8,7.5,1.1,"observed",2000-02-08
1998,2,9,11.5,3.6,"observed",2000-02-09
1998,2,10,14.1,2.7,"observed",2000-02-10
1998,2,11,15.7,1.5,"observed",2000-02-11
1998,2,12,17.3,4.6,"observed",2000-02-12
1998,2,13,14.7,7.9,"observed",2000-02-13
1998,2,14,18,4.2,"observed",2000-02-14
