"","x"
"1",38.9454023018479
"2",185.342288978398
"3",0.835319146513939
"4",25
"5",3372.8
"6",9900.3
"7",6700.76906285985
"8",59399352558688.4
"9",2.56447116658092
"10",25.0866235792637
"11",4
"12",42.3779944211245
