"Scen_year","Year","Pheno"
"1980",2001,NA
"1980",2002,134.916666666667
"1980",2003,124.125
"1980",2004,125.333333333333
"1980",2005,136.083333333333
"1980",2006,118.166666666667
"1980",2007,121.25
"1980",2008,131.833333333333
"1980",2009,119.25
"1980",2010,120.25
"1980",2011,117.375
"1980",2012,121.666666666667
"1980",2013,119.083333333333
"1980",2014,128.291666666667
"1980",2015,140.083333333333
"1980",2016,135
"1980",2017,128.375
"1980",2018,124.166666666667
"1980",2019,133
"1980",2020,111.333333333333
"1980",2021,113.083333333333
"1980",2022,104.083333333333
"1980",2023,119.125
"1980",2024,136.125
"1980",2025,126.333333333333
"1980",2026,112.291666666667
"1980",2027,123.041666666667
"1980",2028,120.083333333333
"1980",2029,107.833333333333
"1980",2030,125.25
"1980",2031,126.125
"1980",2032,131.166666666667
"1980",2033,132.916666666667
"1980",2034,116.25
"1980",2035,123.125
"1980",2036,127.083333333333
"1980",2037,126.291666666667
"1980",2038,125.041666666667
"1980",2039,135.041666666667
"1980",2040,136.291666666667
"1980",2041,128.916666666667
"1980",2042,122.958333333333
"1980",2043,117.291666666667
"1980",2044,117.208333333333
"1980",2045,130.333333333333
"1980",2046,131.291666666667
"1980",2047,127.291666666667
"1980",2048,119.333333333333
"1980",2049,126.416666666667
"1980",2050,118.416666666667
"1980",2051,137.916666666667
"1980",2052,132.125
"1980",2053,123.458333333333
"1980",2054,126.25
"1980",2055,141.291666666667
"1980",2056,112.291666666667
"1980",2057,124.291666666667
"1980",2058,111
"1980",2059,120.916666666667
"1980",2060,120.333333333333
"1980",2061,126.25
"1980",2062,122.083333333333
"1980",2063,129.333333333333
"1980",2064,131.083333333333
"1980",2065,106.083333333333
"1980",2066,111.458333333333
"1980",2067,124.875
"1980",2068,110.416666666667
"1980",2069,110.083333333333
"1980",2070,120.375
"1980",2071,126.666666666667
"1980",2072,136.25
"1980",2073,114.166666666667
"1980",2074,117.916666666667
"1980",2075,111.041666666667
"1980",2076,142
"1980",2077,120.083333333333
"1980",2078,130.083333333333
"1980",2079,124.166666666667
"1980",2080,116.041666666667
"1980",2081,101.208333333333
"1980",2082,119.083333333333
"1980",2083,149.5
"1980",2084,105.166666666667
"1980",2085,141.125
"1980",2086,131.083333333333
"1980",2087,115.166666666667
"1980",2088,98.375
"1980",2089,124.041666666667
"1980",2090,122.333333333333
"1980",2091,141.958333333333
"1980",2092,122.541666666667
"1980",2093,123.916666666667
"1980",2094,120.291666666667
"1980",2095,135.625
"1980",2096,111.083333333333
"1980",2097,134.958333333333
"1980",2098,132.083333333333
"1980",2099,117.208333333333
"1980",2100,121.166666666667
"1990",2001,NA
"1990",2002,132.5
"1990",2003,116.208333333333
"1990",2004,120.25
"1990",2005,120.333333333333
"1990",2006,106.208333333333
"1990",2007,107.291666666667
"1990",2008,117.291666666667
"1990",2009,109.125
"1990",2010,114.958333333333
"1990",2011,112.166666666667
"1990",2012,119.125
"1990",2013,111.166666666667
"1990",2014,121.125
"1990",2015,131.333333333333
"1990",2016,129.041666666667
"1990",2017,121.083333333333
