"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,0.00000746849047479068,0
10,-10,-4,0.0000368930045772774,0
10,-10,-3,0.000181869094278925,0
10,-10,-2,0.000889769670510962,0
10,-10,-1,0.00429412506742552,0
10,-10,0,0.0201089750245276,0
10,-10,1,0.0857483361040131,0
10,-10,2,0.272275941366697,0
10,-10,3,0.494875270988791,0
10,-10,4,0.538264944993559,0
10,-10,5,0.530201310623442,0.227755387447696
10,-10,6,0.584415532087629,1.22177750684487
10,-10,7,0.553401640083741,3.25405943478958
10,-10,8,0.61042172999218,6.41537162370762
10,-10,9,0.59703231708949,10.8277119496938
10,-10,10,0.579664082790919,16.4082439850077
10,-10,11,0.605109858711228,23.0696007518154
10,-10,12,0.617172009045207,30.7755821342253
10,-10,13,0.583665865715541,39.4361376132444
10,-10,14,0.606081293954755,48.9086178241443
10,-10,15,0.534682910131639,59.0146565273861
10,-10,16,0.508536491546466,69.5653393993922
10,-10,17,0.484540667017607,80.3777481136666
10,-10,18,0.462084675321443,91.2763546338406
10,-10,19,0.451459305937455,102.100942397307
10,-10,20,0.467003249367879,112.698933797646
10,-10,21,0.471274397626016,122.895739949798
10,-10,22,0.3186318834201,132.519691967014
10,-10,23,0,141.413784544774
10,-10,24,0,149.438457572369
10,-10,25,0,156.474036310531
10,-10,26,0,158.098097926456
10,-10,27,0,154.846707231241
10,-10,28,0,151.316648270194
10,-10,29,0,143.270267646266
10,-10,30,0,134.742423373846
10,-9,-5,0.00000837671274566238,0
10,-9,-4,0.0000403299208857223,0
10,-9,-3,0.000195539751167045,0
10,-9,-2,0.000945420025702882,0
10,-9,-1,0.00452211993455458,0
10,-9,0,0.0210157503391801,0
10,-9,1,0.0890090151571116,0
10,-9,2,0.280924077949788,0
10,-9,3,0.50737463782468,0
10,-9,4,0.54953304059472,0
10,-9,5,0.555878470494035,0.234591876504336
10,-9,6,0.613686954145401,1.26581597121464
10,-9,7,0.58624411729376,3.34600485968372
10,-9,8,0.630730348122677,6.61392818567398
10,-9,9,0.600920136578852,11.1354037354657
10,-9,10,0.572041497136514,16.8222454631656
10,-9,11,0.64202449937474,23.6242004191253
10,-9,12,0.627804746953229,31.4999969060127
10,-9,13,0.60568456266129,40.3373184073351
10,-9,14,0.601884270449046,49.9744771435055
10,-9,15,0.50619705257074,60.2296935905486
10,-9,16,0.499851744079088,70.921759717577
10,-9,17,0.513448208020241,81.876943218501
10,-9,18,0.495958598210264,92.9340417375324
10,-9,19,0.490532207777811,103.935350449305
10,-9,20,0.496384097581761,114.695618692135
10,-9,21,0.488130526748069,125.030640647186
10,-9,22,0.325003365334007,134.768102300142
10,-9,23,0,143.750682861624
10,-9,24,0,151.8403900824
10,-9,25,0,158.936190161059
10,-9,26,0,160.500501546319
10,-9,27,0,157.307607013402
10,-9,28,0,153.702064292475
10,-9,29,0,145.34234593764
10,-9,30,0,136.879058321467
10,-8,-5,0.00000979112030371327,0
10,-8,-4,0.0000450374870686574,0
10,-8,-3,0.000212841477204498,0
10,-8,-2,0.00101243393868039,0
10,-8,-1,0.00478459836971099,0
10,-8,0,0.0220456611252822,0
10,-8,1,0.092664654081047,0
10,-8,2,0.289638369136176,0
10,-8,3,0.519384705813462,0
10,-8,4,0.557087068299834,0
10,-8,5,0.580829812562444,0.241633704519044
10,-8,6,0.594728881080466,1.31326856434106
10,-8,7,0.618149790891323,3.45147603413536
10,-8,8,0.65333089149942,6.83132595320087
10,-8,9,0.591313633077888,11.4613560313461
10,-8,10,0.622453005320868,17.2664662765679
10,-8,11,0.666123596820286,24.2315165063394
10,-8,12,0.637223725363891,32.2882351296741
10,-8,13,0.614798533829744,41.3012860004056
10,-8,14,0.567130392062083,51.0998480429766
10,-8,15,0.54242369459791,61.5074599360587
10,-8,16,0.553775708465359,72.3551136500483
10,-8,17,0.542302200030509,83.4841853061234
10,-8,18,0.513376203777195,94.7349037210365
10,-8,19,0.521086526627743,105.914446688109
10,-8,20,0.513520445904608,116.82888231598
