"","x"
"1",39.4579019472003
"2",195.551799327135
"3",0.321758881909773
"4",25
"5",3372.8
"6",9900.3
"7",6187.39880094475
"8",59399307532103.6
"9",4.97858336567879
"10",30.0691690444946
"11",4
"12",2.49478113949299
