X.6;YEARMODA;DATE;Year;Month;Day;Tmean;Tmax;Tmin;X;X.1;X.2;X.3;X.4;X.5
1;19730101;1973-01-01 12:00:00;1973;1;1;7,64579048138972;12,22687023432070;4,443302294240030;NA;NA;NA;NA;NA;NA
2;19730102;1973-01-02 12:00:00;1973;1;2;10,99215951910460;16,01096725702500;7,632715499995340;NA;NA;NA;NA;NA;NA
3;19730103;1973-01-03 12:00:00;1973;1;3;9,34974471688476;14,68080819016110;5,949705204430580;NA;NA;NA;NA;NA;NA
4;19730104;1973-01-04 12:00:00;1973;1;4;9,55958610969816;15,32806092602440;6,058214177104790;NA;NA;NA;NA;NA;NA
5;19730105;1973-01-05 12:00:00;1973;1;5;10,84385755956640;16,48749341013810;7,347599141946910;NA;NA;NA;NA;NA;NA
6;19730106;1973-01-06 12:00:00;1973;1;6;10,78231812629120;15,36371452116160;7,524206527321120;NA;NA;NA;NA;NA;NA
7;19730107;1973-01-07 12:00:00;1973;1;7;10,63401616675300;15,84024067427480;7,239090169272700;NA;NA;NA;NA;NA;NA
8;19730108;1973-01-08 12:00:00;1973;1;8;9,13990332407135;14,03355545429780;5,841196231756370;NA;NA;NA;NA;NA;NA
9;19730109;1973-01-09 12:00:00;1973;1;9;10,06603142158800;15,02226135566140;6,736955865875850;NA;NA;NA;NA;NA;NA
10;19730110;1973-01-10 12:00:00;1973;1;10;10,42417477393960;15,19298793841150;7,130581196598490;NA;NA;NA;NA;NA;NA
11;19730111;1973-01-11 12:00:00;1973;1;11;10,42417477393960;15,19298793841150;7,130581196598490;NA;NA;NA;NA;NA;NA
12;19730112;1973-01-12 12:00:00;1973;1;12;10,35002379417050;15,43125101496810;6,988023017574270;NA;NA;NA;NA;NA;NA
13;19730113;1973-01-13 12:00:00;1973;1;13;10,27587281440140;15,66951409152470;6,845464838550060;NA;NA;NA;NA;NA;NA
14;19730114;1973-01-14 12:00:00;1973;1;14;7,70732991466494;13,35064912329730;4,266694908865820;NA;NA;NA;NA;NA;NA
15;19730115;1973-01-15 12:00:00;1973;1;15;10,84385755956640;16,48749341013810;7,347599141946910;NA;NA;NA;NA;NA;NA
16;19730116;1973-01-16 12:00:00;1973;1;16;11,05369895237980;17,13474614600150;7,456108114621120;NA;NA;NA;NA;NA;NA
17;19730117;1973-01-17 12:00:00;1973;1;17;10,99215951910460;16,01096725702500;7,632715499995340;NA;NA;NA;NA;NA;NA
18;19730118;1973-01-18 12:00:00;1973;1;18;14,69667190917100;19,96579086247930;11,215754036473299;NA;NA;NA;NA;NA;NA
19;19730119;1973-01-19 12:00:00;1973;1;19;13,12840808672030;18,39736871905890;9,675301919932730;NA;NA;NA;NA;NA;NA
20;19730120;1973-01-20 12:00:00;1973;1;20;11,56014426426960;16,82894657563840;8,134849803392180;NA;NA;NA;NA;NA;NA
21;19730121;1973-01-21 12:00:00;1973;1;21;12,54781179506140;18,94143136597850;8,854002052137449;NA;NA;NA;NA;NA;NA
22;19730122;1973-01-22 12:00:00;1973;1;22;10,27587281440140;15,66951409152470;6,845464838550060;NA;NA;NA;NA;NA;NA
23;19730123;1973-01-23 12:00:00;1973;1;23;7,07780573622471;11,40889091570730;3,941167990843180;NA;NA;NA;NA;NA;NA
24;19730124;1973-01-24 12:00:00;1973;1;24;9,49804667642295;14,20428203704790;6,234821562479000;NA;NA;NA;NA;NA;NA
