"Scen_year","Year","Frost"
"1980",2002,2
"1980",2003,1
"1980",2004,7
"1980",2005,0
"1980",2006,13
"1980",2007,16
"1980",2008,0
"1980",2009,0
"1980",2010,0
"1980",2011,7
"1980",2012,18
"1980",2013,3
"1980",2014,0
"1980",2015,0
"1980",2016,0
"1980",2017,5
"1980",2018,10
"1980",2019,0
"1980",2020,0
"1980",2021,0
"1980",2022,0
"1980",2023,0
"1980",2024,3
"1980",2025,0
"1980",2026,18
"1980",2027,3
"1980",2028,11
"1980",2029,0
"1980",2030,0
"1980",2031,0
"1980",2032,0
"1980",2033,0
"1980",2034,0
"1980",2035,0
"1980",2036,9
"1980",2037,3
"1980",2038,7
"1980",2039,0
"1980",2040,8
"1980",2041,5
"1980",2042,0
"1980",2043,24
"1980",2044,11
"1980",2045,0
"1980",2046,0
"1980",2047,13
"1980",2048,0
"1980",2049,0
"1980",2050,8
"1980",2051,0
"1980",2052,0
"1980",2053,0
"1980",2054,0
"1980",2055,9
"1980",2056,19
"1980",2057,1
"1980",2058,6
"1980",2059,0
"1980",2060,5
"1980",2061,0
"1980",2062,7
"1980",2063,0
"1980",2064,1
"1980",2065,0
"1980",2066,0
"1980",2067,8
"1980",2068,0
"1980",2069,0
"1980",2070,0
"1980",2071,0
"1980",2072,0
"1980",2073,30
"1980",2074,0
"1980",2075,4
"1980",2076,1
"1980",2077,11
"1980",2078,0
"1980",2079,0
"1980",2080,0
"1980",2081,3
"1980",2082,32
"1980",2083,0
"1980",2084,6
"1980",2085,0
"1980",2086,0
"1980",2087,0
"1980",2088,0
"1980",2089,9
"1980",2090,0
"1980",2091,13
"1980",2092,0
"1980",2093,0
"1980",2094,0
"1980",2095,0
"1980",2096,31
"1980",2097,0
"1980",2098,1
"1980",2099,9
"1980",2100,8
"1990",2002,8
"1990",2003,0
"1990",2004,6
"1990",2005,23
"1990",2006,25
"1990",2007,0
"1990",2008,23
"1990",2009,5
"1990",2010,6
"1990",2011,0
"1990",2012,32
"1990",2013,0
"1990",2014,4
"1990",2015,2
"1990",2016,5
"1990",2017,3
"1990",2018,2
"1990",2019,0
"1990",2020,0
"1990",2021,0
"1990",2022,0
"1990",2023,0
"1990",2024,6
"1990",2025,0
"1990",2026,0
