"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"1",10,-20,-15,0,0
"2",10,-20,-14,0,0
"3",10,-20,-13,0,0
"4",10,-20,-12,0,0
"5",10,-20,-11,0,0
"6",10,-20,-10,0,0
"7",10,-20,-9,0,0
"8",10,-20,-8,0,0
"9",10,-20,-7,0,0
"10",10,-20,-6,0,0
"11",10,-20,-5,0,0
"12",10,-20,-4,0,0
"13",10,-20,-3,0,0
"14",10,-20,-2,0,0
"15",10,-20,-1,0,0
"16",10,-20,0,0,0
"17",10,-20,1,0,0
"18",10,-20,2,0,0
"19",10,-20,3,0.359703130217884,0
"20",10,-20,4,0.380615727666837,0
"21",10,-20,5,0.370767622857298,0.00771582685985754
"22",10,-20,6,0.388471866176059,0.0444564055523119
"23",10,-20,7,0.39024613851986,0.116912775080306
"24",10,-20,8,0.395906159699629,0.23635446925574
"25",10,-20,9,0.382942432144133,0.401772087563961
"26",10,-20,10,0.381705477391166,0.611039028117918
"27",10,-20,11,0.391983346188162,0.866590102835015
"28",10,-20,12,0.389353876821487,1.16846616791084
"29",10,-20,13,0.373778865807756,1.51131478348298
"30",10,-20,14,0.381499877060794,1.88827927993571
"31",10,-20,15,0.362930469259649,2.29195269689635
"32",10,-20,16,0.366251616374865,2.71529611257459
"33",10,-20,17,0.366810734128954,3.15175381076645
"34",10,-20,18,0.357184725209978,3.59457981861301
"35",10,-20,19,0.346680391799678,4.03687548089217
"36",10,-20,20,0.335440447582369,4.4716837004123
"37",10,-20,21,0.294825617039689,4.89183637261611
"38",10,-20,22,0.22933570593185,5.29049226539243
"39",10,-20,23,0.0323091638526713,5.66106749885928
"40",10,-20,24,0,5.99728059712318
"41",10,-20,25,0,6.29365508030288
"42",10,-20,26,0,5.08479410673789
"43",10,-20,27,0,3.78259467170326
"44",10,-20,28,0,3.9957041507613
"45",10,-20,29,0,3.94749936607063
"46",10,-20,30,0,2.52526564751985
"47",10,-19,-15,0,0
"48",10,-19,-14,0,0
"49",10,-19,-13,0,0
"50",10,-19,-12,0,0
"51",10,-19,-11,0,0
"52",10,-19,-10,0,0
"53",10,-19,-9,0,0
"54",10,-19,-8,0,0
"55",10,-19,-7,0,0
"56",10,-19,-6,0,0
"57",10,-19,-5,0,0
"58",10,-19,-4,0,0
"59",10,-19,-3,0,0
"60",10,-19,-2,0,0
"61",10,-19,-1,0,0
"62",10,-19,0,0,0
"63",10,-19,1,0,0
"64",10,-19,2,0,0
"65",10,-19,3,0.374959790848741,0
"66",10,-19,4,0.386507840967418,0
"67",10,-19,5,0.382694814969916,0.00793977160822015
"68",10,-19,6,0.39401286243508,0.045170184911761
"69",10,-19,7,0.395567590329818,0.119332439366678
"70",10,-19,8,0.388743509347712,0.241019662782604
"71",10,-19,9,0.410338001557724,0.408598413559569
"72",10,-19,10,0.410628995394196,0.621044243644133
"73",10,-19,11,0.400924238431746,0.881403960938201
"74",10,-19,12,0.393509720284702,1.18832535547252
